Epoch,Batch Time,Data Time,Loss,Prec@1,Prec@5,lr
0,0.047,0.001,4.99221,1.0939,5.1411,0.01
0,0.046,0.001,7.5624,1.0063,5.3489,0.01
0,0.059,0.001,7.02919,1.2907,5.4474,0.01
0,0.046,0.001,7.56663,1.2251,5.5896,0.01
1,0.046,0.001,5.73004,1.2142,5.2942,0.01
2,0.046,0.001,5.11611,0.9954,5.4146,0.01
3,0.046,0.001,4.90021,1.072,5.0317,0.01
4,0.046,0.001,4.77277,0.9298,5.3052,0.01
5,0.046,0.001,4.70983,1.0939,5.6005,0.01
6,0.046,0.001,4.67419,1.072,5.4802,0.01
7,0.046,0.001,4.64485,1.3345,5.4364,0.01
8,0.046,0.001,4.63416,1.1814,5.6771,0.01
9,0.046,0.001,4.62413,0.9845,5.2505,0.01
10,0.046,0.001,4.61297,1.1157,5.8412,0.01
11,0.046,0.001,4.6035,1.0939,5.874,0.01
12,0.047,0.001,4.60178,1.247,6.0599,0.01
13,0.046,0.001,4.59764,1.1267,5.2177,0.01
14,0.046,0.001,4.59334,0.9735,5.1958,0.01
15,0.046,0.001,4.5934,1.2579,6.0162,0.01
16,0.046,0.001,4.58923,0.9079,5.4474,0.01
17,0.046,0.001,4.58832,1.1923,5.7318,0.01
0,0.076,0.002,6.28049,0.9845,5.0208,0.01
0,0.154,0.034,5.54354,1.0392,5.2286,0.01
1,0.13,0.014,5.58437,0.9845,5.2833,0.01
2,0.17,0.055,5.51297,1.2142,5.3708,0.01
0,0.155,0.032,inf,1.0063,5.5349,0.0005
1,0.149,0.035,4.7402,1.2142,6.1037,0.0005
2,0.163,0.049,4.6971,1.247,5.6443,0.0005
3,0.165,0.05,4.65759,1.2251,5.8412,0.0005
4,0.163,0.047,4.62123,1.1157,5.7646,0.0005
5,0.158,0.041,4.59304,1.0282,5.4474,0.0005
6,0.149,0.035,4.57958,1.0063,5.513,0.0005
7,0.148,0.034,4.57516,1.1595,5.6552,0.0005
8,0.158,0.044,4.57403,1.0939,5.8084,0.0005
0,0.049,0.001,6.62676,0.9845,4.8895,0.05
1,0.044,0.001,4.61636,1.0282,5.4146,0.05
2,0.045,0.001,4.60515,0.9188,5.3927,0.05
3,0.046,0.001,4.59922,1.2142,5.7646,0.05
4,0.045,0.001,4.59728,1.247,5.6224,0.05
5,0.044,0.001,4.59726,1.1267,5.3599,0.05
6,0.044,0.001,4.5951,1.2251,5.513,0.05
7,0.044,0.001,4.59573,0.9298,5.524,0.05
8,0.045,0.001,4.59549,1.0282,5.2942,0.05
9,0.046,0.001,4.59413,1.0939,5.5349,0.05
10,0.045,0.001,4.59543,1.061,5.3708,0.05
0,0.045,0.001,6.33999,0.9079,4.9661,0.005
1,0.043,0.001,6.00189,1.1704,5.3599,0.005
2,0.044,0.001,5.66982,1.1595,5.5786,0.005
0,0.045,0.001,6.70258,0.9079,5.0208,0.05
1,0.044,0.001,4.61899,1.1267,5.338,0.05
2,0.045,0.001,4.60437,1.1485,5.5349,0.05
0,0.045,0.001,5.70241,1.3126,5.4146,0.5
1,0.044,0.001,4.82123,1.1267,5.8521,0.5
2,0.043,0.0,4.82326,1.072,5.3818,0.5
3,0.043,0.001,4.81315,1.0173,5.3161,0.5
4,0.043,0.001,4.8196,1.1267,5.3708,0.5
5,0.045,0.001,4.81897,1.1485,5.2942,0.5
6,0.045,0.001,4.81488,0.9735,5.0974,0.5
7,0.044,0.001,4.81808,1.1267,5.3927,0.5
8,0.043,0.0,4.81927,1.0282,4.9989,0.5
9,0.043,0.001,4.82283,1.0829,5.2724,0.5
10,0.043,0.001,4.81447,1.0501,5.152,0.5
11,0.043,0.001,4.81431,1.1923,5.3708,0.5
12,0.044,0.001,4.81695,1.1048,5.2724,0.5
13,0.045,0.001,4.80932,1.1376,5.7208,0.5
14,0.044,0.001,4.82253,1.0501,5.1849,0.5
15,0.044,0.001,4.8097,1.1485,5.7974,0.5
0,0.045,0.001,6.44153,0.9407,4.9989,0.08
1,0.045,0.001,4.61861,1.0829,5.5349,0.08
2,0.046,0.001,4.61931,1.1048,5.6005,0.08
3,0.045,0.001,4.6222,1.0829,5.513,0.08
4,0.044,0.001,4.61356,1.1048,5.3599,0.08
5,0.045,0.001,4.61859,1.1814,5.513,0.08
6,0.043,0.001,4.61496,1.1704,5.513,0.08
7,0.045,0.001,4.61516,1.0282,5.2614,0.08
8,0.045,0.001,4.61451,1.1485,5.6333,0.08
9,0.044,0.001,4.61742,1.2579,5.5896,0.08
10,0.043,0.001,4.61253,1.0829,5.3708,0.08
11,0.043,0.001,4.61214,0.9735,5.1411,0.08
0,0.044,0.0,8.22658,0.9845,5.2724,0.02
1,0.043,0.001,4.95967,0.9954,4.7254,0.02
2,0.045,0.001,4.72984,1.1376,5.2286,0.02
3,0.045,0.001,4.66923,1.2798,5.4474,0.02
4,0.043,0.001,4.63523,1.061,5.2724,0.02
5,0.043,0.001,4.61956,1.0939,5.5458,0.02
6,0.043,0.001,4.60807,1.1485,5.6005,0.02
7,0.043,0.001,4.60624,0.9407,5.1849,0.02
8,0.044,0.001,4.6011,1.0063,5.1411,0.02
9,0.045,0.001,4.59823,1.0392,5.3489,0.02
10,0.043,0.001,4.59651,0.8751,5.338,0.02
11,0.043,0.001,4.59264,0.9954,5.0427,0.02
12,0.043,0.001,4.58688,1.061,5.6333,0.02
13,0.043,0.001,4.58815,1.0392,5.0974,0.02
0,0.046,0.001,4.67564,1.422,6.9241,0.0002
1,0.044,0.001,4.60703,1.4876,7.9851,0.0002
2,0.043,0.001,4.5245,2.1111,9.7353,0.0002
3,0.043,0.001,4.4922,2.2096,10.0853,0.0002
4,0.043,0.001,4.46327,2.1549,11.026,0.0002
5,0.044,0.001,4.44348,2.6143,11.2886,0.0002
6,0.045,0.001,4.44372,2.3299,10.8401,0.0002
7,0.045,0.001,4.43223,2.5596,11.3214,0.0002
8,0.045,0.001,4.4133,2.483,11.9339,0.0002
9,0.044,0.001,4.40871,2.8878,11.6823,0.0002
10,0.044,0.001,4.39737,3.0409,11.9777,0.0002
11,0.043,0.001,4.37548,3.1612,13.3669,0.0002
12,0.044,0.001,4.39793,2.8987,12.5684,0.0002
13,0.045,0.001,4.37574,3.3581,13.3231,0.0002
14,0.045,0.001,4.3849,3.2269,12.6996,0.0002
15,0.044,0.001,4.37114,3.2816,13.3997,0.0002
16,0.044,0.0,4.37473,3.2487,13.0278,0.0002
17,0.043,0.001,4.34876,3.5878,14.7342,0.0002
18,0.045,0.001,4.35256,3.4238,13.9576,0.0002
19,0.046,0.001,4.34877,3.3909,13.695,0.0002
20,0.045,0.001,4.34493,3.8832,14.4279,0.0002
0,0.044,0.0,4.5927,1.5751,8.5649,8e-05
1,0.044,0.001,4.58259,1.6298,8.0836,8e-05
2,0.044,0.001,4.56055,1.8705,8.9258,8e-05
3,0.045,0.001,4.52188,2.3737,9.9103,8e-05
4,0.043,0.001,4.49826,2.1877,9.6697,8e-05
5,0.043,0.001,4.4809,2.4612,10.676,8e-05
6,0.043,0.001,4.47586,2.2971,10.4354,8e-05
0,0.045,0.001,4.62283,1.4658,6.8366,1e-05
1,0.043,0.001,4.56751,1.9689,8.6852,1e-05
2,0.043,0.001,4.55407,2.0346,8.8493,1e-05
3,0.043,0.001,4.53298,2.5268,9.7243,1e-05
4,0.043,0.001,4.49406,2.5159,10.9495,1e-05
5,0.043,0.001,4.48985,2.7565,10.851,1e-05
6,0.043,0.001,4.47748,2.4174,10.5557,1e-05
7,0.043,0.001,4.45355,2.7674,12.0214,1e-05
8,0.043,0.001,4.4361,3.03,11.6495,1e-05
9,0.043,0.001,4.43025,2.9534,12.2074,1e-05
10,0.043,0.001,4.41783,3.2159,12.098,1e-05
11,0.043,0.001,4.40935,2.8659,12.5465,1e-05
12,0.044,0.001,4.41512,2.9972,12.5465,1e-05
13,0.044,0.001,4.40556,3.1284,12.5793,1e-05
14,0.044,0.001,4.392,3.3253,13.1481,1e-05
15,0.044,0.001,4.39464,3.1503,12.8418,1e-05
16,0.044,0.001,4.37018,3.1503,13.8482,1e-05
17,0.043,0.001,4.37325,3.4128,13.4544,1e-05
18,0.043,0.001,4.37269,3.3691,13.3997,1e-05
19,0.043,0.001,4.36797,3.4675,13.7935,1e-05
20,0.043,0.001,4.37121,3.4894,13.5747,1e-05
21,0.043,0.001,4.36608,3.7082,13.6075,1e-05
22,0.043,0.001,4.34939,3.3691,14.242,1e-05
23,0.043,0.001,4.36861,3.3472,13.9685,1e-05
24,0.043,0.001,4.35792,3.6097,13.9138,1e-05
25,0.043,0.001,4.3419,3.7191,14.8764,1e-05
26,0.043,0.001,4.33573,3.9926,14.406,1e-05
27,0.043,0.001,4.34993,3.7082,14.242,1e-05
28,0.043,0.001,4.32367,3.8941,14.7342,1e-05
29,0.043,0.001,4.32588,3.9926,14.8655,1e-05
30,0.043,0.001,4.31671,4.0035,15.2046,1e-05
31,0.043,0.001,4.32635,3.566,14.7014,1e-05
32,0.043,0.001,4.30807,4.1457,15.9046,1e-05
33,0.043,0.001,4.31444,4.3645,15.5327,1e-05
34,0.044,0.001,4.32163,3.7957,14.7889,1e-05
35,0.043,0.001,4.31314,4.0035,15.3249,1e-05
36,0.043,0.001,4.31048,3.9816,15.6858,1e-05
37,0.043,0.001,4.31078,4.0254,15.6421,1e-05
38,0.043,0.001,4.28457,4.441,16.4734,1e-05
39,0.043,0.001,4.30209,4.0035,15.8171,1e-05
40,0.043,0.0,4.2983,4.1676,15.9702,1e-05
41,0.043,0.001,4.25997,4.6817,17.1407,1.0000000000000002e-06
42,0.044,0.001,4.25898,4.8676,16.8891,1.0000000000000002e-06
43,0.044,0.001,4.25227,4.9442,17.5235,1.0000000000000002e-06
44,0.044,0.001,4.2477,4.7801,17.7204,1.0000000000000002e-06
45,0.044,0.001,4.25069,4.8239,17.6438,1.0000000000000002e-06
46,0.044,0.001,4.24278,4.7364,17.972,1.0000000000000002e-06
47,0.043,0.001,4.24684,4.7145,17.8736,1.0000000000000002e-06
48,0.043,0.001,4.2395,4.8348,17.9282,1.0000000000000002e-06
49,0.043,0.001,4.24168,5.0755,18.0158,1.0000000000000002e-06
50,0.043,0.001,4.24374,5.1083,17.6985,1.0000000000000002e-06
51,0.043,0.001,4.24295,4.7473,18.3548,1.0000000000000002e-06
52,0.043,0.001,4.23814,4.9442,17.8517,1.0000000000000002e-06
53,0.043,0.001,4.23841,4.8676,17.9392,1.0000000000000002e-06
54,0.043,0.001,4.23559,5.2067,18.5955,1.0000000000000002e-06
55,0.043,0.001,4.24231,5.0755,17.9501,1.0000000000000002e-06
56,0.043,0.0,4.232,5.6443,18.7814,1.0000000000000002e-06
57,0.043,0.0,4.23564,5.0317,18.4205,1.0000000000000002e-06
58,0.043,0.0,4.23101,5.0317,18.7596,1.0000000000000002e-06
59,0.043,0.001,4.23577,4.977,18.0923,1.0000000000000002e-06
60,0.043,0.001,4.24936,4.8676,17.4907,1.0000000000000002e-06
61,0.043,0.001,4.23685,5.2942,18.333,1.0000000000000002e-07
62,0.043,0.001,4.2261,5.1739,19.0221,1.0000000000000002e-07
63,0.043,0.001,4.21932,5.2724,19.1205,1.0000000000000002e-07
64,0.043,0.001,4.22137,5.2833,18.4314,1.0000000000000002e-07
65,0.043,0.001,4.24013,5.1192,18.3111,1.0000000000000002e-07
66,0.043,0.001,4.22637,5.1849,18.0704,1.0000000000000002e-07
67,0.043,0.001,4.22655,5.2286,18.2892,1.0000000000000002e-07
68,0.043,0.001,4.22987,5.3052,18.6283,1.0000000000000002e-07
69,0.043,0.001,4.22188,5.699,19.044,1.0000000000000002e-07
70,0.043,0.001,4.22674,5.338,18.8143,1.0000000000000002e-07
71,0.043,0.001,4.22961,5.5896,17.9173,1.0000000000000002e-07
72,0.044,0.001,4.22309,4.802,18.3658,1.0000000000000002e-07
73,0.044,0.001,4.22302,5.152,18.7705,1.0000000000000002e-07
74,0.044,0.001,4.24104,5.163,18.0814,1.0000000000000002e-07
75,0.044,0.001,4.21608,5.0755,18.9674,1.0000000000000002e-07
76,0.044,0.001,4.22946,5.5896,18.683,1.0000000000000002e-07
77,0.043,0.001,4.22929,5.5458,18.5299,1.0000000000000002e-07
78,0.043,0.001,4.20554,5.3161,19.0549,1.0000000000000002e-07
79,0.043,0.001,4.23177,5.3052,18.2892,1.0000000000000002e-07
80,0.043,0.001,4.22607,5.3708,19.1315,1.0000000000000002e-07
81,0.043,0.001,4.21886,5.6224,18.4642,1.0000000000000004e-08
82,0.043,0.0,4.21526,5.2396,18.5408,1.0000000000000004e-08
83,0.043,0.001,4.23093,5.2177,18.6064,1.0000000000000004e-08
84,0.043,0.001,4.21952,5.4911,18.8908,1.0000000000000004e-08
85,0.043,0.001,4.21722,5.4364,19.044,1.0000000000000004e-08
86,0.043,0.001,4.21878,5.6005,18.7158,1.0000000000000004e-08
87,0.043,0.001,4.2226,5.0974,18.6939,1.0000000000000004e-08
88,0.043,0.001,4.21098,5.3927,19.0877,1.0000000000000004e-08
89,0.043,0.001,4.23113,5.3818,18.4205,1.0000000000000004e-08
90,0.043,0.001,4.22327,5.5021,19.0658,1.0000000000000004e-08
91,0.043,0.001,4.2267,5.2833,18.4533,1.0000000000000004e-08
92,0.043,0.001,4.22269,5.6224,18.7814,1.0000000000000004e-08
93,0.043,0.001,4.23403,5.3271,18.6283,1.0000000000000004e-08
94,0.043,0.001,4.23053,5.4583,18.4424,1.0000000000000004e-08
95,0.043,0.001,4.21694,5.6333,18.9674,1.0000000000000004e-08
96,0.043,0.001,4.22422,5.4036,18.7596,1.0000000000000004e-08
97,0.043,0.001,4.21542,5.513,19.0221,1.0000000000000004e-08
98,0.043,0.001,4.22214,5.4146,18.3111,1.0000000000000004e-08
99,0.043,0.001,4.22008,5.3052,18.8033,1.0000000000000004e-08
100,0.043,0.001,4.22158,5.5021,18.7596,1.0000000000000004e-08
101,0.043,0.0,4.22556,5.5896,18.9893,1.0000000000000004e-08
102,0.044,0.001,4.22184,5.2177,18.6502,1.0000000000000004e-08
103,0.044,0.001,4.21566,5.1411,18.6502,1.0000000000000004e-08
104,0.044,0.001,4.22864,5.2833,18.7158,1.0000000000000004e-08
105,0.044,0.001,4.21556,5.2396,18.4642,1.0000000000000004e-08
106,0.045,0.002,4.21522,5.0208,18.3439,1.0000000000000004e-08
